Latitude,Longitude,Region
-60.99,139.5,5.0
-60.95,139.7,5.0
-60.98,139.5,5.0
-60.91,140.0,5.0
-60.97,139.7,5.0
-60.88,140.0,5.0
-61.12,140.1,5.0
-60.9,140.1,5.0
-60.93,140.2,5.0
-60.95,140.6,5.0
-60.92,140.2,5.0
-60.97,140.3,5.0
-60.97,140.6,5.0
-61.03,140.4,5.0
-61.05,141.0,5.0
-61.05,140.5,5.0
-61.1,140.6,5.0
48.5,165.0,2.0
48.5,165.0,2.0
48.53,164.8,2.0
48.56,164.7,2.0
48.52,164.6,2.0
48.52,164.6,2.0
48.64,164.3,2.0
48.64,164.3,2.0
48.59,164.0,2.0
48.59,164.0,2.0
48.56,163.9,2.0
48.56,163.9,2.0
48.57,165.3,2.0
48.65,165.5,2.0
48.53,164.9,2.0
48.57,164.7,2.0
48.58,163.8,2.0
-4.09,-104.9,2.0
-4.25,-105.0,2.0
-4.66,-105.3,2.0
-4.71,-105.7,2.0
-5.3,-106.8,2.0
-5.76,-107.1,2.0
-5.73,-107.2,2.0
-5.81,-107.4,2.0
-5.87,-107.5,2.0
-6.2,-107.9,2.0
-7.2,-109.9,2.0
-7.46,-109.9,2.0
-7.38,-110.8,2.0
-7.33,-111.0,2.0
-57.0,-170.0,5.0
30.16,-64.4,1.0
27.17,-64.86,1.0
25.67,-65.1,1.0
24.15,-65.3,1.0
21.16,-65.75,1.0
19.67,-66.0,1.0
19.67,-65.01,1.0
19.67,-62.05,1.0
19.7,-59.54,1.0
19.68,-56.29,1.0
19.69,-53.17,1.0
19.67,-51.71,1.0
19.68,-50.43,1.0
19.68,-48.94,1.0
19.68,-47.64,1.0
19.67,-46.18,1.0
19.66,-44.75,1.0
20.43,-45.91,1.0
21.19,-47.12,1.0
21.79,-48.06,1.0
22.54,-49.24,1.0
23.59,-50.89,1.0
24.31,-52.05,1.0
25.16,-53.4,1.0
25.89,-54.58,1.0
27.54,-57.26,1.0
29.28,-60.14,1.0
31.66,-64.17,1.0
33.66,-64.14,1.0
31.67,-64.17,1.0
29.67,-64.47,1.0
27.67,-64.77,1.0
26.67,-64.92,1.0
24.67,-65.22,1.0
33.66,-64.17,1.0
30.67,-64.32,1.0
29.67,-64.47,1.0
28.67,-64.62,1.0
27.65,-64.77,1.0
26.67,-64.92,1.0
25.67,-65.07,1.0
24.67,-65.22,1.0
23.67,-65.37,1.0
22.67,-65.52,1.0
21.67,-65.67,1.0
20.67,-65.82,1.0
19.73,-65.93,1.0
33.06,-63.54,1.0
33.73,-62.45,1.0
34.38,-61.33,1.0
35.02,-60.2,1.0
35.66,-59.05,1.0
36.9,-56.71,1.0
37.5,-55.51,1.0
36.57,-56.16,1.0
35.62,-56.8,1.0
