Latitude,Longitude,Region
-55.5,68.5,5.0
-55.5,69.5,5.0
-55.5,70.5,5.0
-54.5,67.5,5.0
-54.5,68.5,5.0
-54.5,71.5,5.0
-53.5,-175.5,5.0
-53.5,66.5,5.0
-53.5,71.5,5.0
-53.5,72.5,5.0
-52.5,66.5,5.0
-51.5,65.5,5.0
-51.5,66.5,5.0
-50.5,65.5,5.0
-50.5,71.5,5.0
-49.5,60.5,5.0
-49.5,61.5,5.0
-49.5,62.5,5.0
-49.5,63.5,5.0
-49.5,64.5,5.0
-49.5,65.5,5.0
-49.5,66.5,5.0
-49.5,67.5,5.0
-49.5,71.5,5.0
-49.5,72.5,5.0
-49.5,73.5,5.0
-49.5,75.5,5.0
-48.5,58.5,5.0
-48.5,59.5,5.0
-48.5,64.5,5.0
-48.5,74.5,5.0
-47.5,55.5,5.0
-47.5,56.5,5.0
-47.5,63.5,5.0
-47.5,64.5,5.0
-47.5,65.5,5.0
-47.5,66.5,5.0
-47.5,73.5,5.0
-47.5,74.5,5.0
-46.5,50.5,5.0
-46.5,53.5,5.0
-46.5,73.5,5.0
-45.5,47.5,5.0
-45.5,48.5,5.0
-45.5,49.5,5.0
-45.5,71.5,5.0
-44.5,45.5,5.0
-44.5,46.5,5.0
-44.5,70.5,5.0
-44.5,71.5,5.0
-43.5,41.5,5.0
-43.5,42.5,5.0
-43.5,43.5,5.0
-43.5,69.5,5.0
-42.5,38.5,5.0
-42.5,40.5,5.0
-42.5,68.5,5.0
-42.5,69.5,5.0
-41.5,35.5,5.0
-41.5,36.5,5.0
-41.5,37.5,5.0
-41.5,68.5,5.0
-40.5,33.5,5.0
-40.5,34.5,5.0
-40.5,67.5,5.0
-39.5,30.5,5.0
-39.5,31.5,5.0
-39.5,32.5,5.0
-39.5,66.5,5.0
-38.5,28.5,5.0
-38.5,29.5,5.0
-38.5,65.5,5.0
-37.5,26.5,5.0
-37.5,27.5,5.0
-37.5,64.5,5.0
-37.5,65.5,5.0
-37.5,76.5,5.0
-37.5,77.5,5.0
-36.5,64.5,3.0
-36.5,75.5,3.0
-36.5,76.5,5.0
-35.5,63.5,3.0
-35.5,73.5,3.0
-35.5,74.5,3.0
-34.5,-72.5,2.0
-34.5,62.5,3.0
-34.5,63.5,3.0
-34.5,71.5,3.0
-34.5,72.5,3.0
-34.5,73.5,3.0
-33.5,-75.5,2.0
-33.5,-73.5,2.0
-33.5,-45.5,1.0
-33.5,62.5,3.0
-33.5,70.5,3.0
-33.5,71.5,3.0
-32.5,-84.5,2.0
-32.5,61.5,3.0
-32.5,62.5,3.0
-32.5,69.5,3.0
-31.5,-91.5,2.0
-31.5,61.5,3.0
-31.5,67.5,3.0
-31.5,68.5,3.0
-30.5,-98.5,2.0
-30.5,-95.5,2.0
-30.5,-42.5,1.0
-30.5,60.5,3.0
-30.5,66.5,3.0
-30.5,67.5,3.0
-29.5,-101.5,2.0
-29.5,59.5,3.0
-29.5,60.5,3.0
-29.5,64.5,3.0
-29.5,65.5,3.0
-28.5,-40.5,1.0
-28.5,59.5,3.0
-28.5,63.5,3.0
-28.5,64.5,3.0
-27.5,-107.5,2.0
-27.5,58.5,3.0
-27.5,59.5,3.0
-27.5,62.5,3.0
-27.5,63.5,3.0
-26.5,58.5,3.0
-26.5,60.5,3.0
-26.5,61.5,3.0
-25.5,59.5,3.0
-25.5,60.5,3.0
-25.5,61.5,3.0
-24.5,57.5,3.0
-24.5,59.5,3.0
-23.5,-117.5,2.0
-23.5,166.5,2.0
-22.5,166.5,2.0
-21.5,166.5,2.0
-21.5,167.5,2.0
-20.5,-122.5,2.0
-20.5,-33.5,1.0
-20.5,166.5,2.0
-20.5,167.5,2.0
-18.5,-142.5,2.0
-17.5,-143.5,2.0
-17.5,-142.5,2.0
-16.5,-144.5,2.0
-16.5,-142.5,2.0
-16.5,-141.5,2.0
-15.5,-147.5,2.0
-15.5,-145.5,2.0
-15.5,-144.5,2.0
-14.5,-148.5,2.0
-14.5,-145.5,2.0
-14.5,-30.5,1.0
-13.5,-164.5,2.0
-10.5,-164.5,2.0
-8.5,-141.5,2.0
-8.5,-136.5,2.0
-7.5,-164.5,2.0
-5.5,-27.5,1.0
-4.5,-164.5,2.0
-2.5,-164.5,2.0
-0.5,-166.5,2.0
-0.5,-164.5,2.0
-0.5,-149.5,2.0
0.5,-179.5,2.0
0.5,-176.5,2.0
0.5,-175.5,2.0
0.5,-172.5,2.0
0.5,-168.5,2.0
0.5,-166.5,2.0
0.5,-164.5,2.0
0.5,-160.5,2.0
0.5,-156.5,2.0
0.5,-152.5,2.0
0.5,-150.5,2.0
0.5,-149.5,2.0
0.5,-24.5,1.0
2.5,-164.5,2.0
5.5,-164.5,2.0
19.5,-65.5,1.0
19.5,-62.5,1.0
19.5,-59.5,1.0
19.5,-56.5,1.0
19.5,-53.5,1.0
19.5,-50.5,1.0
19.5,-47.5,1.0
19.5,-44.5,1.0
19.5,-18.5,1.0
20.5,-65.5,1.0
21.5,-65.5,1.0
21.5,-47.5,1.0
22.5,-157.5,2.0
22.5,-65.5,1.0
22.5,-49.5,1.0
23.5,-65.5,1.0
24.5,-65.5,1.0
24.5,-52.5,1.0
25.5,-65.5,1.0
25.5,-54.5,1.0
26.5,-64.5,1.0
27.5,-64.5,1.0
27.5,-63.5,1.0
27.5,-61.5,1.0
27.5,-57.5,1.0
28.5,-65.5,1.0
28.5,-64.5,1.0
28.5,-60.5,1.0
29.5,-65.5,1.0
29.5,-64.5,1.0
29.5,-60.5,1.0
30.5,-65.5,1.0
30.5,-64.5,1.0
30.5,-10.5,1.0
30.5,-9.5,0.0
31.5,-65.5,1.0
31.5,-64.5,1.0
31.5,-63.5,1.0
31.5,-9.5,0.0
33.5,-64.5,1.0
33.5,-63.5,1.0
33.5,-62.5,1.0
33.5,-58.5,1.0
33.5,21.5,1.0
33.5,22.5,1.0
34.5,-61.5,1.0
34.5,-57.5,1.0
35.5,-142.5,2.0
35.5,-139.5,2.0
35.5,-60.5,1.0
35.5,-56.5,1.0
35.5,18.5,1.0
36.5,-56.5,1.0
36.5,-5.5,0.0
36.5,-0.5,1.0
36.5,13.5,1.0
37.5,-55.5,1.0
37.5,8.5,1.0
37.5,15.5,1.0
38.5,3.5,1.0
39.5,14.5,1.0
41.5,10.5,1.0
43.5,4.5,0.0
43.5,5.5,0.0
43.5,7.5,1.0
48.5,-15.5,1.0
48.5,-13.5,1.0
48.5,163.5,2.0
48.5,164.5,2.0
48.5,165.5,2.0
49.5,-13.5,1.0
49.5,-12.5,1.0
49.5,-11.5,1.0
49.5,-10.5,1.0
54.5,-166.5,2.0
55.5,-168.5,2.0
55.5,-166.5,2.0
55.5,-165.5,2.0
55.5,-163.5,2.0
56.5,-167.5,2.0
56.5,-164.5,2.0
57.5,-170.5,2.0
57.5,-163.5,2.0
57.5,-160.5,2.0
58.5,-174.5,2.0
58.5,-172.5,2.0
58.5,-170.5,2.0
58.5,-169.5,2.0
58.5,-168.5,2.0
59.5,-178.5,2.0
59.5,-177.5,2.0
59.5,-175.5,2.0
59.5,-172.5,2.0
59.5,-170.5,2.0
61.5,-173.5,2.0
62.5,-175.5,2.0
62.5,-173.5,2.0
