Dataset,Station,Year,Month,Day,Depth (m),Latitude,Longitude,POP      (µmol L-1),PON (µmol L-1),POC (µmol L-1)
SOIREE,1,1999,2,10,5,-60.99,139.46,-9999,0.78,4.66
SOIREE,1,1999,2,10,20,-60.99,139.46,-9999,0.72,4.63
SOIREE,1,1999,2,10,50,-60.99,139.46,-9999,0.91,4.84
SOIREE,1,1999,2,10,80,-60.99,139.46,-9999,0.82,4.71
SOIREE,1,1999,2,10,100,-60.99,139.46,-9999,0.35,1.62
SOIREE,1,1999,2,10,150,-60.99,139.46,-9999,0.12,1.07
SOIREE,2,1999,2,11,5,-60.95,139.74,-9999,1.01,5.27
SOIREE,2,1999,2,11,20,-60.95,139.74,-9999,0.88,5.52
SOIREE,2,1999,2,11,40,-60.95,139.74,-9999,1.07,5.75
SOIREE,2,1999,2,11,70,-60.95,139.74,-9999,0.76,4.6
SOIREE,2,1999,2,11,105,-60.95,139.74,-9999,0.29,2.17
SOIREE,2,1999,2,11,125,-60.95,139.74,-9999,0.3,1.77
SOIREE,3,1999,2,12,5,-60.98,139.49,-9999,1.02,5.97
SOIREE,3,1999,2,12,20,-60.98,139.49,-9999,1.25,6.77
SOIREE,3,1999,2,12,40,-60.98,139.49,-9999,1.27,7.2
SOIREE,3,1999,2,12,70,-60.98,139.49,-9999,1.16,6.29
SOIREE,3,1999,2,12,105,-60.98,139.49,-9999,0.4,2.91
SOIREE,3,1999,2,12,125,-60.98,139.49,-9999,0.31,1.5
SOIREE,4,1999,2,14,5,-60.91,139.96,-9999,1.19,6.62
SOIREE,4,1999,2,14,40,-60.91,139.96,-9999,1.39,7.44
SOIREE,4,1999,2,14,60,-60.91,139.96,-9999,1.37,7.53
SOIREE,4,1999,2,14,65,-60.91,139.96,-9999,1.07,5.88
SOIREE,4,1999,2,14,105,-60.91,139.96,-9999,0.28,2.23
SOIREE,4,1999,2,14,110,-60.91,139.96,-9999,0.2,1.4
SOIREE,4,1999,2,14,5,-60.97,139.68,-9999,0.93,5.25
SOIREE,4,1999,2,14,40,-60.97,139.68,-9999,1.42,7.52
SOIREE,4,1999,2,14,65,-60.97,139.68,-9999,1.38,7.44
SOIREE,4,1999,2,14,75,-60.97,139.68,-9999,1.22,6.96
SOIREE,4,1999,2,14,105,-60.97,139.68,-9999,0.42,2.25
SOIREE,4,1999,2,14,120,-60.97,139.68,-9999,0.26,1.58
SOIREE,5,1999,2,15,5,-60.88,140,-9999,1.15,6.4
SOIREE,5,1999,2,15,20,-60.88,140,-9999,1.84,9.49
SOIREE,5,1999,2,15,40,-60.88,140,-9999,1.42,7.81
SOIREE,5,1999,2,15,70,-60.88,140,-9999,1.05,6.19
SOIREE,5,1999,2,15,77,-60.88,140,-9999,0.87,4.81
SOIREE,5,1999,2,15,105,-60.88,140,-9999,0.43,1.94
SOIREE,6,1999,2,16,5,-61.12,140.11,-9999,1.1,7.09
SOIREE,6,1999,2,16,20,-61.12,140.11,-9999,0.69,4.55
SOIREE,6,1999,2,16,40,-61.12,140.11,-9999,1.27,7.09
SOIREE,6,1999,2,16,68,-61.12,140.11,-9999,1.15,6.72
