"","Cruise","Year","nrows","minLat","maxLat","minLon","maxLon","nPOC","nPON","nPOP","nPCOD","CP","NP","CN","RQ"
"1","AE1319","2013",128,32,55,-69,-40,123,111,111,0,145,12,11.6,NA
"2","AMT28","2018",776,-48,50,-53,-6,741,741,775,771,155,23,6.7,1.2
"3","BVAL46","2011",197,20,39,-66,-64,0,0,197,0,NA,NA,NA,NA
"4","C13","2020",112,-41,35,-74,17,112,112,112,0,155,22,7.1,NA
"5","I09N","2018",238,-31,18,85,110,235,235,236,0,134,19,7.1,NA
"6","I7N","2016",790,-30,18,40,69,732,733,727,0,121,19,6.4,NA
"7","NH1418","2014",191,-3,19,-158,-150,159,159,180,0,142,23,6.1,NA
"8","OS1701","2016-2017",106,67,72,-169,-154,106,106,105,0,96,13,7.4,NA
"9","OS1901","2017",137,63,73,-171,-154,137,137,137,0,150,21,7.2,NA
"10","P18","2017",194,-70,29,-116,-100,194,194,194,194,130,21,6.2,1.1
"11","SKQ1709s","2018",72,63,69,-173,-165,72,72,72,0,142,18,8,NA
"12","SKQ2018-13S","2019",53,63,69,-172,-164,53,53,53,0,113,17,6.7,NA
